タイトル,あらすじ,ジャンル
幼女戦記,"金髪碧眼の幼女ターニャは、超一流かつ冷徹な魔導師。そしてまた、神を自称する""存在X""に先んじようとする、日本人サラリーマンの生まれ変わりでもあった。",主人公最強アニメ
GODZILLA 怪獣惑星,地球を離れて2万年。八方ふさがりとなった人類は、ゴジラが支配する故郷への帰還を目指す。だが、ある若者が狙うのは、他でもない、敵討ちだった。,国内SF・ファンタジー
クジラの子らは砂上に歌う,小さな島の共同体で記録係をつとめる少年チャクロは、超能力の使い手としての宿命を負い、穏やかに生きていた。外界から来た謎の少女がその姿を現すまでは…。,SF・ファンタジーアニメ
メイドインアビス,"世界最後の秘境の大穴""アビス""。立派な探窟家を目指す少女・リコが、ロボットの少年・レグと共に、アビスのナゾを解き明かすべく深層を目指す。",SF・ファンタジーアニメ
リトル ウィッチ アカデミア,魔女を夢見て名門ルーナノヴァ魔法学校に入学した少女、アッコ。失敗ばかりの毎日だけど、熱い友情と持ち前の明るさを武器に、夢に向かって突き進む!,SF・ファンタジーアニメ
小林さんちのメイドラゴン,酔った勢いでドラゴンを助けた、独り身お疲れOLの小林さん。ドラゴンは美少女メイドになり、恩返しにやって来た。愛情と友情あふれるハチャメチャ生活スタート!,コメディ・ギャグアニメ
いぬやしき,UFOの墜落に巻き込まれ、強大な力を持つ機械の体となった定年間近の犬屋敷と高校生の獅子神。力を使って暴虐を働く獅子神を止めるため、犬屋敷は戦いを挑む。,主人公最強アニメ
少女終末旅行,文明が崩壊し、全てが滅んだ世界でふたりぼっちになった少女、機械担当のチトと銃担当のユーリ。食料や物資を求め、2人は今日も延々と続く廃墟を進み続ける。,SF・ファンタジーアニメ
虐殺器官,核爆弾を使ったテロ以降、世界各地で頻発する内戦や大量虐殺。その背後には、ある言語学者の存在が。クラヴィス・シェパード大尉は、軍の指令で彼の行方を追う。,国内SF・ファンタジー
キラキラ プリキュアアラモード,"中学2年生の宇佐美いちかが、伝説のパティシエ・プリキュア""キュアホイップ""に大変身! スイーツショップで想いのつまったスイーツを悪い妖精から守るよ!",キッズTV番組
魔法使いの嫁,異形の魔法使い・エリアスに、弟子として、将来の花嫁として迎えられた15歳の羽鳥チセ。そこから、特別な力以外何も持っていなかった彼女の人生が変わり始める。,SF・ファンタジーアニメ
キノの旅 -the Beautiful World- the Animated Series,若き旅人、キノは1つの国に、基本的に3日間だけ滞在するというルールで世界の各地を訪れる。側にはいつも相棒で、言葉を話す2輪車のエルメスが一緒。,ライトノベルが原作のアニメ
劇場版FAIRY TAIL -DRAGON CRY-,魔導士ギルド、フェアリーテイルのナツ達は、世界を滅ぼす力を持つ魔法のつえ、ドラゴンクライの奪還任務へ。壮絶な戦いの中、ナツの秘めた本能が目を覚ます。,国内SF・ファンタジー
ID-0 アイディー・ゼロ,Iマシンの使用中に事故に巻き込まれた連盟アカデミーの学生、ミクリ・マヤ。助けられた宇宙船で曲者ぞろいのメンバー達と過ごす中で、新しい世界を垣間見る。,ロボット・サイボーグアニメ
エロマンガ先生,高校生兼ラノベ作家の正宗が知った、衝撃の事実。自分の小説のイラスト担当は、引きこもりの義理の妹だった! 可愛い妹が、えっちなイラストを描いていたなんて!?,コメディ・ギャグアニメ
ソード・オラトリア ダンジョンに出会いを求めるのは間違っているだろうか外伝,"迷宮都市オラリオの巨大ダンジョンに挑む、""剣姫""アイズ・ヴァレンシュタインとロキ・ファミリアの仲間たち。強さの限界を超えるまで、その戦いは終わらない。",主人公最強アニメ
