タイトル,あらすじ,ジャンル
映画 それいけ! アンパンマン ルビーの願い,オーロラの国には、それぞれの色の絵筆にまたがって、空いっぱいにオーロラを描く5人のオーロラ娘とオーロラ姫が暮らしていました。その中のひとり、ルビーはとてもおてんばで、オーロラ姫を怒らせて、赤い小鳥のすがたに変えられてしまいました。ふたたびオーロラの国にもどるためには、ブラックロック島にある、三つの願いがかなう石『オーロラの雫』を手に入れなくてはなりません。,"キッズ,アニメ,ファミリー"
シン･ゴジラ,東京湾･羽田沖。突如、東京湾アクアトンネルが崩落する原因不明の事故が発生した。首相官邸では総理大臣以下、閣僚が参集されて緊急会議が開かれ、内閣官房副長官･矢口蘭堂は、海中に棲む巨大生物による可能性を指摘。周囲は矢口の意見を一笑に付すものの、直後、海上に巨大不明生物の姿が露わになった。慌てふためく政府関係者が情報収集に追われる中、謎の巨大不明生物は上陸。普段と何も変わらない生活を送っていた人々の前に突然現れ、次々と街を破壊し、止まること無く進んでいく。政府は緊急対策本部を設置し、自衛隊に防衛出動命令を発動。そして、川崎市街にて、“ゴジラ”と名付けられたその巨大不明生物と、自衛隊との一大決戦の火蓋がついに切られた。,"特撮,ヒューマンドラマ,アクション"
劇場版 SPEC ～天～ 警視庁公安部公安第五課 未詳事件特別対策係事件簿,通常の捜査では解決できない特殊な事件を専門に扱う部署「警視庁公安部公安第五課未詳事件特別対策係」通称“未詳 (ミショウ)”。特別捜査官の当麻紗綾 (戸田恵梨香) と瀬文焚流 (加瀬亮) の元に「ミイラ死体殺人事件」のニュースがもたらされる。これはスペックホルダーによる犯行なのか? 事件はやがて国家をも揺るがす大事件となっていく。シンプルプランとは? ファティマ第3の予言とは? その時、当麻の左手に激痛が走る!,"サスペンス／ミステリー,コメディ"
秒速5センチメートル,小学校の卒業と同時に離ればなれになった遠野貴樹と篠原明里。そんなある日、大雪の降る中、貴樹は明里に会いに行く…。二人の再会の日を描いた「桜花抄」、その後の貴樹を別の人物の視点から描いた「コスモナウト」、そして彼らの魂の彷徨を切り取った表題作「秒速5センチメートル」。三本の連作アニメーション作品。,"アニメ,青春,ヒューマンドラマ"
映画 それいけ! アンパンマン ロールとローラ うきぐも城のひみつ,ある日、雲の中の古いお城、うきぐも城にまよいこんだロールパンナ。それは汚れた雲を吸いこんできれいな雲をはきだし、恵みの雨を降らせてくれるふしぎなお城でした。ところが、そこへ城を横取りしようとするばいきんまんたちがあらわれて、スーパーモグリンで攻撃を始めました。黒いビーム光線を浴びたロールパンナは、冷たい心のブラックロールパンナに変身してしまいます。アンパンマンたちはロールパンナをすくうため立ち上がります。がんばれ、アンパンマン!,"キッズ,アニメ,ファミリー"
映画 それいけ! アンパンマン 人魚姫のなみだ,海底のうずまき城に住むおてんば人魚のサニー姫は、陸の世界に行くことを夢見ています。ある日サニーは、“髪につけると人間になれる”不思議な紅色ヒトデの髪飾りをこっそり陸へ持ち出してしまいます。憧れの陸の世界で、人間の女の子になったサニーはアンパンマンたちに迎えられ、学校に行ったり、優しいしょくぱんまんにダンスを習ったりと、心おどる毎日。でもその頃、海底では怪しい動きが…。,"キッズ,アニメ,ファミリー"
超高速! 参勤交代リターンズ,江戸時代、老中･松平信祝の差し金により幕府から突然参勤交代を命じられた磐城国 (現在の福島県いわき市) の湯長谷藩。金も人手も時間も無い中、知恵と工夫でなんとか江戸への参勤を果たすが、故郷へ帰る「交代」までが「参勤交代」。藩主の内藤政醇率いる一行は、湯長谷を目指し江戸を出発する。あとは帰るだけ、と思ったのも束の間、その道中、湯長谷で一揆が起きたことを耳にする。政醇たちに打ち負かされた信祝が、さらに大きな権力と最強の刺客を手に入れ、湯長谷藩を壊滅させようと逆襲を始めたのだった。,"コメディ,時代劇"
東京喰種 トーキョーグール,人の姿をしながら、人を喰らう怪人･喰種 (グール) が潜む東京。平凡な大学生･カネキはある日事件にあい、喰種のリゼの臓器を移植されたことで、半喰種となってしまう。苦悩するカネキは、喰種が集まる喫茶店「あんていく」で働き始め、そこで女子高生トーカたちと出会い、喰種にも守るべき家族や友人がいることを知る。一方、喰種を駆逐すべく、人間側の捜査官･亜門、真戸が現れ、熾烈な戦いに巻き込まれていく。人の命を奪い、喰い、生き永らえる喰種の存在に疑問と葛藤を抱きつつ、あるべき世界の姿を模索する青年の未来は―。,"SF,アクション,ホラー"
映画 それいけ! アンパンマン ゴミラの星,ある日アンパンマンたちのもとにヤーダ星のお姫様、ヤーダ姫がやってきます。緑に溢れたヤーダ星がいつしかゴミでいっぱいになり、住む場所を追われてしまったために、助けを求めてやって来たのでした。話を聞いたアンパンマンと仲間たちは、ゴミが大好物なゴミラならヤーダ星を救ってくれるかもしれないと思いつき、ゴミラを探しに出ることに…。,"キッズ,アニメ,ファミリー"
映画 それいけ! アンパンマン 勇気の花がひらくとき,お城の生活にうんざりしたキララ姫はキラキラ星を抜けだし、アンパンマンと宇宙で出会います。アンパンマンに連れられてやってきたアンパンマンワールドはキララ姫にとって目新しい事ばかり。みんなとも仲良くなり自由な生活を楽しみますが、大好きなアンパンマンを一人じめしたくていらいらしたキララ姫は「勇気の花のジュース」の瓶をつい割ってしまいました…。,"キッズ,アニメ,ファミリー"
劇場版 SPEC ～結 (クローズ)～ 漸 (ゼン) ノ篇,ズボラながら頭脳明晰、左腕を三角巾でつるした当麻紗綾 (戸田恵梨香) と肉体派で単純男の瀬文焚流 (加瀬亮)。この2人は公安部公安第五課未詳事件特別対策係、通称“ミショウ”に属し、「未来予知」「念動力」などのスペックを駆使する犯罪者に立ち向かっていた。地居 (城田優)、冷泉 (田中哲司)、サトリ (真野恵里菜) などの数々のスペックホルダー、そして「時をとめる」最強の能力者、宿敵ニノマエ (神木隆之介) との死闘に勝利をおさめた当麻ら。しかし、スペックホルダーたちは国家を揺るがすほどの存在となっていく。人類の中枢を担う権力者たちは、スペックホルダーを殲滅するため、“シンプルプラン”を実行に移そうとしていた。それに対し、死んだはずのニノマエによって組織化されたスペックホルダーたちは、人類との覇権争いに乗り出す。,"サスペンス／ミステリー,コメディ"
劇場版 HUNTER×HUNTER The LAST MISSION,【劇場版第2弾】ゴンとキルア、クラピカ、レオリオは、戦いの祭典「バトルオリンピア」が開催される天空闘技場を訪れていた。多くのハンター、要人たちが詰め掛ける会場を武装集団が襲撃! 男の正体は、数十年前に葬られたはずの《影》!! 目的は、ネテロに葬られた仲間たちの復讐、そして《影》を切り捨てたハンター協会への復讐だった…。「全てのハンターに死を!」宣戦布告をしたのは、かつてネテロと共にハンター協会を支えていた、《影》の隊長“ジェド”。“ハンター協会の闇”が、本作で明らかになる!!,"アニメ,アクション,キッズ"
蛇にピアス,刺青、ボディピアス、SM。ダークなテーマでありながら女性読者に圧倒的な支持を受けた、金原ひとみのデビュー作にして芥川賞受賞作を、演劇界の鬼才･蜷川幸雄が映画化した。心の穴を埋めるために、ピアス、刺青で身体改造するヒロイン、ルイを全身全霊で演じたのは吉高由里子。みずみずしい存在感をアピールしていた彼女が、本作ではハードな役を演じ切っている。,"恋愛,ヒューマンドラマ,青春"
ルパン三世 カリオストロの城,宮崎駿監督にとって初の劇場監督作品となる劇場版「ルパン三世」シリーズ第2弾。盗み出した大金が偽札と気づいたルパンと次元は、偽のゴート札の秘密を探るため、カリオストロ公国へやって来た。そして謎の男たちに追われていた少女クラリスを助けるのだが…。,"アニメ,アクション,サスペンス／ミステリー"
ユリゴコロ,男手ひとつで育ててくれた亮介の父親が余命わずかと診断され、結婚を控えていた千絵はこつ然と姿を消した。失意の亮介は、実家の押し入れで一冊のノートと巡り会う。「ユリゴコロ」と書かれたそのノートに書かれていたのは、美紗子と名乗る女の手記。人を殺めることでしか自分の生きる世界と繋がることができない女性の衝撃的な告白だった。美紗子の人生の奥深くに触れていくにつれ、次第にその物語が創作だとは思えなくなる亮介。いったい誰が、何のためにこれを書いたのか。なぜ自分はこれほどまでにこの手記に惹かれるのか。そして機を待っていたかのように、千絵のかつての同僚だったという細谷が、千絵からの伝言を手に亮介の前に現れた…。,サスペンス／ミステリー
22年目の告白 －私が殺人犯です－,時効を迎えた連続殺人事件。その男は、突然現れた―。「はじめまして、私が殺人犯です」かつて5人の命が奪われ、未解決のまま時効を迎えた連続殺人事件。その犯人が、事件から22年後、突然自ら名乗り出た。会見場に現れたのは、自身の告白本を手に、不敵な笑みを浮かべる曾根崎雅人という男だった。顔をさらし、肉声で殺人を告白する曾根崎の登場にネットは熱狂! 賛否両論をまき散らしながら本はベストセラーに。それだけでは終わらない。マスコミを連れての被害者遺族への謝罪、刑事への挑発、そして、サイン会まで。そのすべてがあらゆるメディアを通じて発信され、SNSで拡散されていく。それは、日本中を巻き込んだ新たな事件の始まりだった…。日本中が見守る告白の行方は―? 事件 (ゲーム) は、とんでもない領域へと加速していく!,"サスペンス／ミステリー,アクション,ヒューマンドラマ"
斉木楠雄のΨ難,生まれながらにとんでもない超能力を与えられた高校生･斉木楠雄。彼の切実な願い、それは―「普通に生きたい」しかし、斉木に想いを寄せる妄想しまくり美女や超能力でも気配が読めないバカなど、ワケありのクラスメイトたちがムダにからんでくる。毎年恒例の一大イベント、文化祭。その日を無事にやり過ごしたいだけの斉木に、災難がふりかかりまくる。何かの陰謀か? やっかいな恋と友情、そして超能力が吹き荒れる! たかが文化祭で、まさかの地球滅亡!? 斉木はこの災難を乗り越えることが出来るのか?,コメディ
火花,若手コンビ「スパークス」としてデビューするも、まったく芽が出ないお笑い芸人の徳永は、営業先の熱海の花火大会で先輩芸人･神谷と出会う。神谷は、「あほんだら」というコンビで常識の枠からはみ出た漫才を披露。その奇想な芸風と人間味に惹かれ、徳永は神谷に「弟子にしてください」と申し出る。神谷はそれを了承し、その代わり「俺の伝記を作って欲しい」と頼む。その日から徳永は神谷との日々をノートに書き綴る。二人は毎日のように呑みに出かけ、芸の議論を交わし、仕事はほぼないが才能を磨き合う充実した日々を送るように。しかし、いつしか二人の間にわずかな意識の違いが生まれ始める―「笑い」に魅せられ、「現実」に阻まれ、「才能」に葛藤しながら、「夢」に向かって全力で生きる二人の10年間の青春物語。,"青春,ヒューマンドラマ"
欲動,妹･九美の出産に立ち会うためバリを訪れた夫婦、千紘とユリ。九美にとっては心強い2人だったが、実兄の千紘は心臓に重い病を抱えており、死を覚悟しての旅だった。そんな千紘にとって、看護師でもあるユリの冷静な振る舞いが我慢できず、つい八つ当たりしてしまう。そんな時、地元のジゴロ、ワヤンに熱烈に迫られ動揺するユリだったが…。,"ヒューマンドラマ,恋愛"
