タイトル,あらすじ,ジャンル
溺れるナイフ,15歳の夏に、東京から田舎町に越してきた人気モデル。傲慢なほどに激しく自由な少年に惹かれてゆくが、夏祭りの夜に、すべてを変える事件が起きる。,ティーン向け恋愛・ラブストーリー
鬼談百景,小野不由美が手掛けたベストセラー「鬼談百景」。現代が舞台の99の怪談集から、新進気鋭の日本ホラー映画監督6人が、背筋も凍る10の物語を映像化する。,ホラー
オオカミ少女と黒王子,高校1年生の少女は友達に見栄を張り、彼氏がいるとウソをついてしまう。疑惑の目をごまかすため、学校一のイケメンに彼氏の振りをしてもらおうとするのだが…。,ティーン向け恋愛・ラブストーリー
ぼくは明日、昨日のきみとデートする,美大生は、電車の中で出会った女性に一目ぼれ。交際を始めた2人は愛を育んでゆくが、彼女には大きな秘密があった。やがて、2人の時間と運命は、すれ違い始める。,ティーン向け恋愛・ラブストーリー
探偵ミタライの事件簿 星籠の海,ある島に6人もの死体が流れてきたという事件に興味を持った天才脳科学者。別の場所で捨てられた死体が複雑な海流によって入江に流れ着いたことをつき止める。,ヒューマンドラマ
仮面ライダー平成ジェネレーションズ Dr.パックマン対エグゼイド&ゴーストwithレジェンドライダー,"人類におそいかかる、なぞのゲームウイルス生命体""パックマン""。仮面ライダーゴーストとエグゼイドはレジェンドライダー達と力を合わせ、悪の野望に立ち向かう!",キッズ・ファミリー映画
クリーピー 偽りの隣人,元刑事の犯罪心理学者・高倉は、6年前の一家失踪事件の分析を頼まれる。そんな折、新居に越した高倉と妻は、隣人家族の奇妙な言動に翻弄され、困惑を覚える。,マインドゲームスリラー
超高速! 参勤交代 リターンズ,"無理難題な""参勤""を何とか果たした、藩主・内藤政醇の弱小藩。だが故郷で一揆(いっき)が起こったというから、行きの倍の速さで帰り、""交代""を済ませねば!",歴史・時代劇
残穢 住んではいけない部屋,ミステリー作家のもとに読者から一通の手紙が届く。彼女の住む部屋から奇妙な音が聞こえるというのだ。その音はもっと深く、さらに暗い恐怖へつながる入口だった。,ホラー
CONFLICT 〜最大の抗争〜 第二章 終結編,天道会本部への襲撃の裏には、内通者がいるはず。裏切り者を見つけるため、若頭の鷲尾は、腹心の若頭補佐に調査を命じる。血で血を洗う壮絶な抗争、ついに決着!,国内アクション・アドベンチャー
劇場版 教科書にないッ!,優柔不断な高校教師・大楽有彦を主人公とするラブコメ。思春期真っただ中の女子高生、色っぽい同僚、恐ろしいヤクザの組長などが絡み、数々の騒動が巻き起こる。,ラブコメディ
アンチポルノ,奇抜な手法でカリスマ的な人気を誇る女流作家の京子。マネージャーを犬のように扱ってサディスティックに振る舞うのだが、これは彼女の現実なのか? それとも...。,ヒューマンドラマ
リップヴァンウィンクルの花嫁 【serial edition】,世間知らずのヒロインは、ネットのお見合いサイトで知り合った男性との結婚を決意。だが人並みの生活はあっさりと崩壊。様々な出会いと経験が彼女を待ち受ける。,ヒューマンドラマ
闇金ドッグス2,元ヤクザと元ホストが営む闇金の優良顧客が、資金繰りに失敗して失踪。2人は男が入れ揚げていたスナックのママを訪れるが、この女がとんでもない曲者だった。,ヒューマンドラマ
鷹の爪8 吉田くんのX (バッテン) ファイル,"未来からタイムトラベルでやってきた捜査官。小学生の吉田くんが""呪いのビデオ""捜索に巻き込まれ、不思議な出来事が次々に出現! はたして大冒険の結末は?",アクションコメディ
ホワイトリリー,自由奔放な有名陶芸家、登紀子の住み込みの弟子、はるか。登紀子に身も心もささげて献身的に尽くすのだが、新弟子の悟がやって来たことで全てが変わり始める。,官能的なラブロマンス
僕だけがいない街,売れない漫画家を突然襲う、時間の巻き戻り現象。10歳の頃に戻った彼は、当時起こった連続誘拐殺人事件の謎に挑む。事件を未然に防ぎ、大切な人を救えるのか?,国内SF・ファンタジー
ディストラクション・ベイビーズ,ある日を境に、暮らしていた小さな港町から兄・泰良が姿を消した。将太が兄を捜している頃、泰良は暴力と血にまみれた無差別な凶行を繰り返していた...。,国内アクション・アドベンチャー
YOKOHAMA BLACK,"相模睦連合会に属する影の暗殺集団""特別高等粛清班""。関西や東京の脅威から神奈川を守るため、次々と裏切り者や敵を排除し、悪を粛正していく。",国内任侠映画
葛城事件,長年の間、父親からことあるごとに責めたてられ、理不尽な思いを募らせてきた息子が、ある日突然、無差別殺傷事件を起こす。そして家族は一気に崩壊へと向かう。,ヒューマンドラマ
あやしい彼女,自分の望む人生を送れなかったおばあちゃんが、いきなり20才に若返り! かつての姿を取り戻した彼女が、思い通りの人生を歩むため、再び青春時代をエンジョイする。,国内SF・ファンタジー
SCOOP!,芸能人を追い回すパパラッチとして自堕落に生きるカメラマンは、写真週刊誌の新人記者とコンビを組む羽目に。2人は衝突しながらも、大スクープを連発してゆく。,ブルーリボン賞受賞映画
セトウツミ,放課後に河原でしゃべって過ごす、クールでインテリの内海とお調子者の瀬戸。好対照な2人が無駄話をしたり、ちょっと深い話をしたり。こんな青春も悪くない。,国内青春・学園
何者,就活の情報交換のために集まる、5人の大学生。それぞれが抱く希望や不安、そして葛藤を共にしたり、SNSでつぶやいたりするが、そこには複雑な人間模様があった。,ヒューマンドラマ
セーラー服と機関銃 -卒業-,弱小ヤクザ･目高組の元組長という過去を持つ星泉。今は組も解散し、普通の女子高生としての日常を楽しんでいる。そんな中、泉の周りで不穏な空気が漂い始める。,国内アクション・アドベンチャー
HK/変態仮面 アブノーマル・クライシス,大金との闘いの後、狂介は究極の選択を迫られる。愛子のパンティを永遠に手放すか、それとも愛子に嫌がられてもこのまま正義の変態仮面として世界を救うのか?,アクションコメディ
ドクムシ,学校らしき建物に監禁された7人の男女。口にできるのは水道水のみ、残り時間は1週間…。閉ざされた飢えの恐怖が蔓延する中、極限のデスゲームが幕を開ける。,ホラー
