タイトル,あらすじ,ジャンル
僕らのごはんは明日で待ってる,無口でネガティブな亮太(りょうた)と、明るくポジティブな小春。ひょんなことから付き合うことになった2人が、7年という歳月をかけて本当の愛を確かめ合う。,ラブロマンス
トリガール！,流されるままに生きてきた大学生のゆきなは、一目ぼれの先輩に誘われて人力飛行サークルに入部。夏の大会で空を飛ぶことを目指し、ゆきなの青春の日々が始まる。,国内青春・学園
家族はつらいよ 2,運転が危なくなってきた頑固オヤジに免許を返上させるには?! 平穏な毎日に降ってわいた難題に頭を抱える家族たち。さらに、旧友との再会が思わぬ大騒動を呼び...?,国内コメディ
釘打ちのバラッド,"組長の女を連れて逃げようとしたやくざの下っぱ構成員。組織を裏切った男は、その世界で""釘打ち""と呼ばれ恐れられている殺し屋から狙われることに...。",犯罪サスペンス
イタズラなKiss THE MOVIE 2 ～キャンパス編～,直樹と同じ大学に通うことになって有頂天の琴子。とは言っても、学部が違う2人の大学生活は擦れ違い気味。しかも、恋のライバルが出現し、琴子は大ピンチに。,漫画が原作の国内映画
いつまた、君と 何日君再来,病に倒れた祖母に代わり、思い出の手記をまとめ始めた孫の理。そこには中国から無一文で引き揚げてきた祖父母の波乱の歴史と愛の物語がつづられていた。,実話に基づくヒューマンドラマ
デジモンアドベンチャーtri. 第4章「喪失」,リブートされたデジタルワールドに来た太一たち。そこには芽心を探し憔悴したメイクーモンの姿が。子どもたちはメイクーモンと芽心を会わせることを決意する。,ビデオゲームが原作のアニメ
劇場版 猫忍,幼い頃に父と生き別れ、愛を知らずに育った霧生忍者の陽炎太は、ある屋敷で父そっくりのデブ猫に遭遇。そしてこの出会いが、陽炎太の運命を大きく変えることに。,ヒューマンドラマ
KING OF PRISM -PRIDE the HERO-,エーデルローズでは、プリズムキングカップへの出場を目指して新入生がレッスンに励んでいた。だが、シュワルツローズの陰謀によりエーデルローズは解散の危機に。,ドラマアニメ
デジモンアドベンチャーtri. 第5章「共生」,デジタルワールドからそがいされ、現実世界でも人々に追われる選ばれし子供たち。強大すぎるメイクーモンが暴走し、世界ほうかいへのカウントダウンがはじまる。,ビデオゲームが原作のアニメ
結婚,様々な女たちの心の隙間に入り込み、その色気で翻弄していく結婚詐欺師・古海健児。だまされた女たちと、だました男。彼らが持つ孤独と欲望の行き着く先とは?,本が原作のヒューマンドラマ
一礼して、キス,弓道部の部長、岸本杏は引退を決意し、後輩の三神曜太を次期部長とすることに。それを知った三神は、秘めていた思いを杏に告白。杏の胸に、恋の矢は刺さるのか?,漫画が原作の国内映画
